Gene.Symbol,log2_Parental,log2_DTP,ENTREZID
GGT1,21.17177765,21.41502115,2678
GGT7,18.02381605,18.05514841,2686
GK,21.22831139,21.64442772,2710
GLA,22.21781675,22.20905163,2717
GLB1,22.60881725,22.84433343,2720
GLCE,20.12881201,20.25486695,26035
GLO1,24.21792388,24.27868657,2739
GLRX,22.01704102,22.47930631,2745
GLS,23.47783036,23.89381026,2744
GLS,18.80762986,19.14220081,2744
GLS2,18.65358935,18.08136395,27165
GLT8D1,19.92157134,20.10577596,55830
GLTP,23.78629413,23.7445061,51228
GLUD1,21.96183185,22.08055744,2746
GLUD2,15.77590239,16.26174731,2747
GLUL,22.75510095,22.67700436,2752
GLYCTK,16.76030341,16.32918433,132158
GM2A,21.73656659,22.94178412,2760
GMDS,24.81693669,24.53646306,2762
GMPPA,24.58280195,24.45517797,29926
GMPPB,23.42960882,23.56903681,29925
GMPR,20.04909072,19.93375679,2766
GMPR2,22.80378878,22.88405133,51292
GMPS,26.45115256,25.82882,8833
GNE,22.99972946,23.14635743,10020
GNPDA1,22.69765632,22.79539957,10007
GNPDA2,18.71793435,19.07500652,132789
GNPNAT1,24.0017425,23.9330334,64841
GNS,23.22202611,23.47858382,2799
GOT1,24.70384945,24.9881607,2805
GOT2,26.41841265,26.86934489,2806
GPAA1,17.52367261,17.40318368,8733
GPAM,20.61885049,20.73024056,57678
GPAT4,19.75657715,19.61011189,137964
GPCPD1,21.85100047,21.87857552,56261
GPD1,21.22679945,21.54711701,2819
GPD2,25.60747172,25.69120947,2820
GPI,25.32840522,25.19142001,2821
GPT2,20.93683709,21.37407488,84706
GPX1,22.257364,22.37927644,2876
GPX8,22.17130372,21.96028421,493869
GRHPR,22.65205413,22.99384898,9380
GSR,25.81359167,25.95005687,2936
GSS,25.37143313,25.67160082,2937
GSTM2,20.63075491,21.19188039,2946
GSTZ1,21.32086611,21.73050987,2954
GUCY1A1,19.24862265,19.12052626,2982
GUCY1B1,19.51443427,18.89781909,2983
GUK1,22.67447954,23.17090129,2987
GUSB,20.67269993,20.66752867,2990
GYG1,22.05998897,22.13239711,2992
GYS1,23.66979365,23.7293753,2997
H6PD,20.42281897,20.91413932,9563
HACD2,22.52610891,22.20387148,201562
HACD3,21.28865581,21.55239583,51495
HACL1,22.47964369,22.3789296,26061
HADH,23.84470577,24.01800022,3033
HADHA,25.89542611,26.49587385,3030
HADHB,25.60442795,26.31540667,3032
HAGH,23.18868389,23.65841116,3029
HAL,19.20280327,19.07069687,3034
HAS3,19.14150357,18.80608827,3038
HDLBP,20.47485634,20.33253944,3069
