Reaction,WT_Mean,WT_SEM,WT_Norm_CI_Low,WT_Norm_CI_High,WT_Perc_CI_Low,WT_Perc_CI_High,KO_Mean,KO_SEM,KO_Norm_CI_Low,KO_Norm_CI_High,KO_Perc_CI_Low,KO_Perc_CI_High
ADK3m,1618.15870211332,133.74482405019,1356.01884697495,1880.29855725169,-6867.97477272106,7375.06179538129,1363.73243515318,108.750870682758,1150.58072861498,1576.88414169139,-7289.27121159073,7341.76797164357
ADNt4,0.419258579708468,0.00715967748053629,0.405225611846617,0.433291547570319,0.0418140415788733,0.791013760580884,0.520277045256105,0.00862664387779652,0.503368823255624,0.537185267256586,0.0512146793583754,0.907140862700406
ADNtl,0,0,0,0,0,0,0,0,0,0,0,0
ADNtm,-1.18890568335801e-30,1.93966156103066e-46,-1.18890568335801e-30,-1.18890568335801e-30,-1.188905683358e-30,-1.188905683358e-30,-5.98755680881499e-13,4.47255505074308e-29,-5.98755680881499e-13,-5.98755680881499e-13,-5.98755680881498e-13,-5.98755680881498e-13
ADPRIBt,0.426603134426606,0.00935249583509015,0.40827224258983,0.444934026263383,0.0113031200790737,0.974355372212901,0.514715400255397,0.00965290332905897,0.495795709730441,0.533635090780353,0.0548276349568457,0.993795691833236
ADRNCOAtx,-3.68158774272227,0.092986333584639,-3.86384095654816,-3.49933452889638,-9.86209356002519,1.5833335731572,-4.13166175425185,0.159153692137361,-4.44360299084108,-3.81972051766262,-15.0065204065811,4.42659904390834
ADRNCRNt,-1337.76979027254,111.742954385643,-1556.7859808684,-1118.75359967668,-6152.5199442999,4456.22038504005,-120.480446096661,126.299873859389,-368.028198861063,127.067306667741,-6056.25454710022,5363.25118458429
ADSL2r,0.961670256044656,0.0300121262080083,0.90284648867696,1.02049402341235,0.00481605953671506,3.22797478057852,1.37382196314129,0.0364045555880986,1.30246903418862,1.44517489209397,0.0168231354651837,4.06812650523536
AGMTm,0.220339242684245,0.0055583117951841,0.209444951565684,0.231233533802805,0.0111003287910106,0.610456094769058,0.264323411279738,0.00709020116126518,0.250426617003658,0.278220205555818,0.00775308668696217,0.792511603308327
AHANDROSTANGLCte,0,0,0,0,0,0,0,0,0,0,0,0
AIRCr,0.961670256044586,0.0300121262080061,0.902846488676894,1.02049402341228,0.00481605953671448,3.22797478057828,1.37382196314119,0.0364045555880959,1.30246903418852,1.44517489209386,0.0168231354651824,4.06812650523506
AKGMALtm,-372.926658220639,122.267862081601,-612.571667900578,-133.2816485407,-6148.72197795686,6040.51593902632,1170.53246767284,106.917712195908,960.973751768863,1380.09118357682,-6255.5942399035,6665.49912174261
AKGt4_3,-0.0484177144441503,0.0157107906600274,-0.0792108641378041,-0.0176245647504965,-0.9103739199522,0.945351943113438,0.0115156250829707,0.0143611024073348,-0.0166321356354055,0.0396633858013468,-0.939479309164076,0.741362904328562
ALAGLYexR,-1237.93491281993,92.1075533471452,-1418.46571738033,-1057.40410825952,-6749.37639316179,4135.20939089109,1533.20078321461,121.881796952094,1294.31246118851,1772.08910524072,-5855.98417279405,7370.29144894933
ALASERNaEx,141.714864393369,3.90547872764673,134.060126087182,149.369602699557,2.82472429006623,434.268904498331,124.86650764139,3.74487069390524,117.526561081336,132.206454201444,4.57677632571648,454.932262014273
